Date,Index
2014-12-24,856.0
2014-12-23,872.0
2014-12-22,891.0
2014-12-19,907.0
2014-12-18,929.0
2014-12-17,945.0
2014-12-16,961.0
2014-12-15,980.0
2014-12-12,1001.0
2014-12-11,1026.0
2014-12-10,1047.0
2014-12-09,1066.0
2014-12-08,1081.0
2014-12-05,1088.0
2014-12-04,1097.0
2014-12-03,1108.0
2014-12-02,1119.0
2014-12-01,1124.0
2014-11-28,1120.0
2014-11-27,1099.0
2014-11-26,1073.0
2014-11-25,1064.0
2014-11-24,1059.0
2014-11-21,1055.0
2014-11-20,1053.0
2014-11-19,1055.0
2014-11-18,1061.0
2014-11-17,1069.0
2014-11-14,1089.0
2014-11-13,1112.0
2014-11-12,1133.0
2014-11-11,1150.0
2014-11-10,1168.0
2014-11-07,1183.0
2014-11-06,1205.0
2014-11-05,1224.0
2014-11-04,1238.0
2014-11-03,1241.0
2014-10-31,1233.0
2014-10-30,1222.0
2014-10-29,1202.0
2014-10-28,1172.0
2014-10-27,1137.0
2014-10-24,1121.0
2014-10-23,1099.0
2014-10-22,1066.0
2014-10-21,1032.0
2014-10-20,995.0
2014-10-17,966.0
2014-10-16,940.0
2014-10-15,909.0
2014-10-14,885.0
2014-10-10,865.0
2014-10-09,864.0
2014-10-08,869.0
2014-10-07,884.0
2014-10-06,889.0
2014-10-03,887.0
2014-10-02,878.0
2014-10-01,854.0
2014-09-30,826.0
2014-09-29,812.0
2014-09-26,807.0
2014-09-25,799.0
2014-09-24,798.0
2014-09-23,800.0
2014-09-22,809.0
2014-09-19,814.0
2014-09-18,819.0
2014-09-17,829.0
2014-09-16,843.0
2014-09-15,860.0
2014-09-12,875.0
2014-09-11,895.0
2014-09-10,916.0
2014-09-09,940.0
2014-09-08,940.0
2014-09-05,931.0
2014-09-04,927.0
2014-09-03,919.0
2014-09-02,903.0
2014-09-01,888.0
2014-08-29,871.0
2014-08-28,842.0
2014-08-27,811.0
2014-08-26,808.0
2014-08-22,812.0
2014-08-21,818.0
2014-08-20,828.0
2014-08-19,837.0
2014-08-18,836.0
2014-08-15,803.0
2014-08-14,739.0
2014-08-13,674.0
2014-08-12,651.0
2014-08-11,634.0
2014-08-08,624.0
2014-08-07,616.0
2014-08-06,609.0
2014-08-05,609.0
2014-08-04,610.0
2014-08-01,611.0
2014-07-31,619.0
2014-07-30,625.0
2014-07-29,624.0
2014-07-28,616.0
2014-07-25,606.0
2014-07-24,596.0
2014-07-23,584.0
2014-07-22,576.0
2014-07-21,576.0
2014-07-18,586.0
2014-07-17,603.0
2014-07-16,621.0
2014-07-15,644.0
2014-07-14,666.0
2014-07-11,679.0
2014-07-10,708.0
2014-07-09,710.0
2014-07-08,704.0
2014-07-07,680.0
2014-07-04,640.0
2014-07-03,557.0
2014-07-02,485.0
2014-07-01,446.0
2014-06-30,423.0
2014-06-27,419.0
2014-06-26,423.0
2014-06-25,433.0
2014-06-24,446.0
2014-06-23,452.0
2014-06-20,461.0
2014-06-19,474.0
2014-06-18,492.0
2014-06-17,514.0
2014-06-16,542.0
2014-06-13,582.0
2014-06-12,635.0
2014-06-11,678.0
2014-06-10,699.0
2014-06-09,713.0
2014-06-06,727.0
2014-06-05,758.0
2014-06-04,786.0
2014-06-03,841.6
2014-06-02,846.0
2014-05-30,872.0
2014-05-29,904.0
2014-05-28,940.0
2014-05-27,971.0
2014-05-23,1001.0
2014-05-22,1028.0
2014-05-21,1056.0
2014-05-20,1061.0
2014-05-19,1054.0
2014-05-16,1041.0
2014-05-15,1016.0
2014-05-14,969.0
2014-05-13,933.0
2014-05-12,910.0
2014-05-09,898.0
2014-05-08,879.0
2014-05-07,869.0
2014-05-06,866.0
2014-05-02,865.0
2014-05-01,871.0
2014-04-30,871.0
2014-04-29,872.0
2014-04-28,868.0
2014-04-25,864.0
2014-04-24,852.0
2014-04-22,828.0
2014-04-17,812.0
2014-04-16,792.0
2014-04-15,777.0
2014-04-14,778.0
2014-04-11,782.0
2014-04-10,787.0
2014-04-09,794.0
2014-04-08,801.0
2014-04-07,812.0
2014-04-04,822.0
2014-04-03,836.0
2014-04-02,867.0
2014-04-01,897.0
2014-03-31,942.0
2014-03-28,978.0
2014-03-27,1018.0
2014-03-26,1062.0
2014-03-24,1107.0
2014-03-21,1112.0
2014-03-20,1120.0
2014-03-19,1120.0
2014-03-18,1118.0
2014-03-17,1116.0
2014-03-14,1113.0
2014-03-13,1106.0
2014-03-12,1102.0
2014-03-11,1104.0
2014-03-10,1088.0
2014-03-07,1075.0
2014-03-06,1056.0
2014-03-05,1053.0
2014-03-04,1062.0
2014-03-03,1080.0
2014-02-28,1099.0
2014-02-27,1123.0
2014-02-26,1154.0
2014-02-25,1187.0
2014-02-24,1222.0
2014-02-21,1244.0
2014-02-20,1261.0
2014-02-19,1282.0
2014-02-18,1298.0
2014-02-17,1308.0
2014-02-14,1311.0
2014-02-13,1313.0
2014-02-12,1324.0
2014-02-11,1322.0
2014-02-10,1305.0
2014-02-07,1304.0
2014-02-06,1307.0
2014-02-05,1307.0
2014-02-04,1313.0
2014-02-03,1326.0
2014-01-31,1337.0
2014-01-30,1347.0
2014-01-29,1369.0
2014-01-28,1387.0
2014-01-27,1413.0
2014-01-24,1437.0
2014-01-23,1468.0
2014-01-22,1496.0
2014-01-21,1530.0
2014-01-20,1552.0
2014-01-17,1564.0
2014-01-16,1570.0
2014-01-15,1572.0
2014-01-14,1580.0
2014-01-13,1598.0
2014-01-10,1621.0
2014-01-09,1645.0
2014-01-08,1672.0
2014-01-07,1692.0
2014-01-06,1724.0
2014-01-03,1750.0
2014-01-02,1780.0
2013-12-24,1825.0
2013-12-23,1835.0
2013-12-20,1858.0
2013-12-19,1883.0
2013-12-18,1946.0
2013-12-17,2025.0
2013-12-16,2082.0
2013-12-13,2096.0
2013-12-12,2085.0
2013-12-11,2050.0
2013-12-10,1997.0
2013-12-09,1955.0
2013-12-06,1923.0
2013-12-05,1867.0
2013-12-04,1795.0
2013-12-03,1741.0
2013-12-02,1695.0
2013-11-30,1665.0
2013-11-29,1665.0
2013-11-28,1613.0
2013-11-27,1510.0
2013-11-26,1427.0
2013-11-25,1387.0
2013-11-22,1362.0
2013-11-21,1345.0
2013-11-20,1346.0
2013-11-19,1353.0
2013-11-18,1382.0
2013-11-15,1409.0
2013-11-14,1438.0
2013-11-13,1474.0
2013-11-12,1510.0
2013-11-11,1542.0
2013-11-08,1565.0
2013-11-07,1594.0
2013-11-06,1614.0
2013-11-05,1617.0
2013-11-04,1612.0
2013-11-01,1631.0
2013-10-31,1667.0
2013-10-30,1716.0
2013-10-29,1790.0
2013-10-28,1855.0
2013-10-25,1904.0
2013-10-24,1959.0
2013-10-23,2010.0
2013-10-22,2038.0
2013-10-21,2054.0
2013-10-18,2060.0
2013-10-17,2059.0
2013-10-16,2030.0
2013-10-15,2021.0
2013-10-14,2020.0
2013-10-11,2024.0
2013-10-10,2027.0
2013-10-09,2016.0
2013-10-08,1989.0
2013-10-07,1947.0
2013-10-04,1914.0
2013-10-03,1862.0
2013-10-02,1813.0
2013-10-01,1786.0
2013-09-30,1795.0
2013-09-27,1800.0
2013-09-26,1794.0
2013-09-25,1745.0
2013-09-24,1602.0
2013-09-23,1509.0
2013-09-20,1453.0
2013-09-19,1415.0
2013-09-18,1385.0
2013-09-17,1349.0
2013-09-16,1321.0
2013-09-13,1306.0
2013-09-12,1278.0
2013-09-11,1241.0
2013-09-10,1186.0
2013-09-09,1105.0
2013-09-06,1020.0
2013-09-05,961.0
2013-09-04,933.0
2013-09-03,921.0
2013-09-02,912.0
2013-08-30,907.0
2013-08-29,904.0
2013-08-28,901.0
2013-08-27,904.0
2013-08-23,903.0
2013-08-22,904.0
2013-08-21,905.0
2013-08-20,912.0
2013-08-19,917.0
2013-08-16,923.0
